#RMID    RA    DEC 
RM 694    214.27782      51.72779     
RM 695    211.77811      52.31010     
RM 696    211.59052      53.70489     
RM 697    214.88400      51.87462     
RM 698    215.95936      53.49148     
RM 699    212.66519      54.35082     
RM 700    211.39324      52.85355     
RM 701    211.81455      53.93618     
RM 702    215.23965      52.02444     
RM 703    215.21661      54.17478     
RM 704    211.62116      53.77388     
RM 705    211.53155      52.53553     
RM 706    211.41749      53.48074     
RM 707    216.07177      53.03580     
RM 708    215.17005      51.97299     
RM 709    212.22948      51.97590     
RM 710    216.07588      53.06850     
RM 711    211.57319      52.47485     
RM 712    213.51318      54.50401     
RM 713    216.04618      53.34483     
RM 714    215.95717      52.65101     
RM 715    215.07418      54.25874     
RM 716    213.72805      51.65377     
RM 717    214.20109      54.48360     
RM 718    214.81273      54.36002     
RM 719    214.39534      51.71050     
RM 720    211.32509      53.25834     
RM 721    214.86324      51.83085     
RM 722    216.07996      53.29739     
RM 723    212.18536      51.97871     
RM 724    216.09378      52.98423     
RM 725    215.84378      52.44893     
RM 726    211.87318      52.16416     
RM 727    211.36839      52.77028     
RM 728    216.08149      53.31666     
RM 729    216.01946      53.49704     
RM 730    215.60432      53.98381     
RM 731    216.11505      53.07689     
RM 732    211.30230      53.24773     
RM 733    211.46662      53.64779     
RM 734    213.60814      51.63380     
RM 735    214.37054      54.48051     
RM 736    211.28585      53.09417     
RM 737    211.70062      53.91363     
RM 738    216.00169      53.56306     
RM 739    215.19954      51.94746     
RM 740    216.09194      52.85895     
RM 741    214.89360      51.82096     
RM 742    213.26373      51.65223     
RM 743    216.02126      53.53509     
RM 744    214.06594      54.52401     
RM 745    216.07326      53.42283     
RM 746    214.33454      51.67566     
RM 747    215.72230      53.92102     
RM 748    212.27851      51.89946     
RM 749    212.23171      51.92006     
RM 750    211.34484      52.71713     
RM 751    211.79882      52.17596     
RM 752    215.84457      53.82043     
RM 753    216.14696      53.24689     
RM 754    215.06031      51.85676     
RM 755    215.90135      53.77163     
RM 756    212.34759      51.85559     
RM 757    214.75874      51.74976     
RM 758    212.69852      51.73526     
RM 759    216.14361      52.88634     
RM 760    215.09463      51.86626     
RM 761    216.05386      52.65096     
RM 762    214.82952      54.40912     
RM 763    211.65381      52.27056     
RM 764    215.59254      52.13871     
RM 765    211.29051      53.45241     
RM 766    213.58268      53.63760     
RM 767    214.21221      53.86584     
RM 768    212.31540      53.45606     
RM 769    213.22466      54.00399     
RM 770    215.27862      53.62923     
RM 771    214.01893      54.17766     
RM 772    215.39959      52.52747     
RM 773    214.25808      54.22793     
RM 774    212.62967      52.05463     
RM 775    211.99611      53.79994     
RM 776    212.05039      53.88425     
RM 777    212.58799      54.24792     
RM 778    213.57730      54.42271     
RM 779    214.84736      54.36715     
RM 780    214.17651      51.65195     
RM 781    215.26470      51.97207     
RM 782    213.32900      54.53400     
RM 783    213.33263      51.62170     
RM 784    212.26520      54.29636     
RM 785    213.34349      52.54715     
RM 786    213.58974      52.49447     
RM 787    214.06213      52.83146     
RM 788    213.13223      52.97721     
RM 789    214.18403      53.43224     
RM 790    214.37196      53.30737     
RM 791    213.04689      52.77716     
RM 792    214.50300      53.34330     
RM 793    214.13404      53.64371     
RM 794    212.84327      52.69845     
RM 795    214.89524      53.23743     
RM 796    214.53174      53.70123     
RM 797    213.61620      53.88601     
RM 798    213.01199      52.34058     
RM 799    212.34582      52.71620     
RM 800    214.50842      52.31014     
RM 801    212.36245      52.65927     
RM 802    212.90487      53.86853     
RM 803    212.22629      52.76386     
RM 804    215.25015      53.36099     
RM 805    212.11266      53.38981     
RM 806    215.41236      52.91633     
RM 807    212.11009      52.58457     
RM 808    213.94253      54.16519     
RM 809    213.46245      54.17470     
RM 810    211.89844      52.82364     
RM 811    213.24276      54.18300     
RM 812    214.93962      52.22839     
RM 813    213.09194      54.17223     
RM 814    211.92100      52.67694     
RM 815    215.61685      53.26803     
RM 816    214.23621      54.20656     
RM 817    213.12410      54.24179     
RM 818    212.85193      54.18926     
RM 819    213.55679      54.30185     
RM 820    214.41292      54.24045     
RM 821    214.54455      54.21699     
RM 822    213.28377      51.86955     
RM 823    213.75683      54.32526     
RM 824    212.65879      52.00913     
RM 825    213.68178      54.33095     
RM 826    214.85631      54.15956     
RM 827    213.07515      54.30476     
RM 828    213.36825      54.34803     
RM 829    212.96485      51.88405     
RM 830    212.55550      54.17026     
RM 831    214.14638      54.36162     
RM 832    214.35646      54.33134     
RM 833    213.06128      54.34066     
RM 834    212.93899      54.31680     
RM 835    213.26141      54.37920     
RM 836    211.64885      52.61319     
RM 837    214.09450      54.42201     
RM 838    214.37985      54.39733     
RM 839    213.49545      54.45166     
RM 840    214.18813      54.42799     
RM 841    211.63942      53.78886     
RM 842    214.09491      52.32130     
RM 843    214.78298      53.00709     
RM 844    215.07056      53.14123     
RM 845    215.84043      53.37854     
RM 846    215.67236      53.44629     
RM 847    215.85102      53.58644     
RM 848    215.60674      53.57398     
