# Mean_MJD=56660.209
# RMID=118 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.714
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0272
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -7.9471e+00  0.0000e+00    16777216    88080384
  3567.796 -7.9462e+00  5.3870e+00           0    71303168
  3788.785  2.2880e+01  1.4592e+00           0           0
  3789.658  2.0609e+01  1.4307e+00           0           0
  3790.530  1.7905e+01  1.3783e+00           0           0
  3791.403  1.9735e+01  1.3895e+00           0           0
  3792.276  2.1940e+01  1.4508e+00           0           0
  3793.150  2.0131e+01  1.4566e+00           0           0
  3794.023  1.9634e+01  1.4707e+00           0           0
  3794.897  2.0625e+01  1.4753e+00           0           0
  3795.771  2.0106e+01  1.4637e+00           0           0
  3796.645  1.9290e+01  1.4346e+00           0           0
  3797.519  2.0739e+01  1.4223e+00           0           0
  3798.394  1.9315e+01  1.3858e+00           0           0
  3799.268  1.8345e+01  1.3766e+00           0           0
  3800.143  2.1398e+01  1.4037e+00           0           0
  3801.018  2.1542e+01  1.4287e+00           0           0
  3801.894  1.9477e+01  1.3847e+00           0           0
  3802.769  2.1302e+01  1.5075e+00           0    33554432
  3803.645  1.9703e+01  1.4913e+00           0    33554432
  3804.521  2.1453e+01  1.4430e+00           0           0
  3805.397  2.0552e+01  1.4210e+00           0           0
  3806.273  1.9591e+01  1.3802e+00           0           0
  3807.150  1.8427e+01  1.3355e+00           0           0
  3808.027  1.5375e+01  1.2702e+00           0           0
  3808.904  1.9276e+01  1.3332e+00           0           0
  3809.781  1.9335e+01  1.3509e+00           0           0
  3810.658  1.8728e+01  1.3114e+00           0           0
  3811.536  1.8670e+01  1.3087e+00           0           0
  3812.413  1.8602e+01  1.3336e+00           0           0
  3813.291  1.8321e+01  1.3248e+00           0           0
  3814.169  1.7787e+01  1.3314e+00           0           0
  3815.048  1.6502e+01  1.3213e+00           0           0
  3815.926  1.8281e+01  1.3329e+00           0           0
  3816.805  1.7564e+01  1.2904e+00           0           0
  3817.684  1.6683e+01  1.2791e+00           0           0
  3818.563  2.1135e+01  1.3200e+00           0           0
  3819.443  1.8350e+01  1.2908e+00           0           0
  3820.322  1.8253e+01  1.2851e+00           0           0
  3821.202  2.0315e+01  1.2728e+00           0           0
  3822.082  1.8782e+01  1.2681e+00           0           0
  3822.962  1.7321e+01  1.2595e+00           0           0
  3823.842  2.1095e+01  1.2950e+00           0           0
  3824.723  1.7241e+01  1.2597e+00           0           0
  3825.604  1.8733e+01  1.2420e+00           0           0
  3826.485  2.0005e+01  1.2239e+00           0           0
  3827.366  1.9085e+01  1.2449e+00           0           0
  3828.247  1.8083e+01  1.2353e+00           0           0
  3829.129  1.8723e+01  1.2936e+00           0           0
  3830.011  1.9185e+01  1.3127e+00           0           0
  3830.893  1.8298e+01  1.3118e+00           0           0
  3831.775  1.8744e+01  1.3314e+00           0           0
  3832.657  1.9271e+01  1.3652e+00           0           0
  3833.540  1.8915e+01  1.3478e+00           0           0
  3834.423  1.8321e+01  1.3233e+00           0           0
  3835.306  1.6985e+01  1.2715e+00           0           0
  3836.189  1.6172e+01  1.2512e+00           0           0
  3837.072  2.0584e+01  1.2818e+00           0           0
  3837.956  2.0973e+01  1.2716e+00           0           0
  3838.840  1.7533e+01  1.2031e+00           0           0
  3839.724  1.9390e+01  1.2226e+00           0           0
  3840.608  2.0358e+01  1.2282e+00           0           0
  3841.492  2.0318e+01  1.2692e+00           0           0
  3842.377  2.0425e+01  1.2534e+00           0           0
  3843.262  1.8180e+01  1.2295e+00           0           0
  3844.147  1.5853e+01  1.1951e+00           0           0
  3845.032  1.8280e+01  1.2295e+00           0           0
  3845.918  2.0402e+01  1.2694e+00           0           0
  3846.803  1.6904e+01  1.2380e+00           0           0
  3847.689  1.6471e+01  1.2022e+00           0           0
  3848.575  1.7893e+01  1.2040e+00           0           0
  3849.461  1.8105e+01  1.1989e+00           0           0
  3850.348  1.7526e+01  1.2051e+00           0           0
  3851.235  1.7056e+01  1.2130e+00           0           0
  3852.121  1.7510e+01  1.2209e+00           0           0
  3853.009  1.7735e+01  1.2320e+00           0           0
  3853.896  1.9351e+01  1.2131e+00           0           0
  3854.783  1.9524e+01  1.2017e+00           0           0
  3855.671  1.6325e+01  1.1977e+00           0           0
  3856.559  1.9981e+01  1.2375e+00           0           0
  3857.447  1.6955e+01  1.2162e+00           0           0
  3858.335  1.6497e+01  1.1767e+00           0           0
  3859.224  1.8790e+01  1.1787e+00           0           0
  3860.113  2.0628e+01  1.1929e+00           0           0
  3861.002  2.0784e+01  1.1905e+00           0           0
  3861.891  1.9016e+01  1.2036e+00           0           0
  3862.780  2.2394e+01  1.3123e+00           0    33554432
  3863.670  1.8511e+01  1.2526e+00           0    33554432
  3864.559  1.7514e+01  1.1619e+00           0           0
  3865.449  2.1007e+01  1.1775e+00           0           0
  3866.339  1.8641e+01  1.1546e+00           0           0
  3867.230  1.7391e+01  1.1120e+00           0           0
  3868.120  1.4699e+01  1.0928e+00           0           0
  3869.011  1.7233e+01  1.1023e+00           0           0
  3869.902  1.8460e+01  1.1579e+00           0           0
  3870.793  1.6584e+01  1.1090e+00           0           0
  3871.685  1.6572e+01  1.1192e+00           0           0
  3872.576  1.4765e+01  1.0904e+00           0           0
  3873.468  1.7663e+01  1.1105e+00           0           0
  3874.360  1.8104e+01  1.1103e+00           0           0
